PID,TID,FULLNAME,POS,AGE,GP,MPG,MIN,USG,Tor,FTA,FT,PA2,P2,PA3,P3,EFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
479,18,Dario Saric,F,24,46,23.3,48.5,17,10.1,72,0.861,196,0.5,162,0.401,0.546,0.581,9.8,5.4,12.5,1.4,8.4,0.63,0.11,0.96,7.2,117.1,105.1
480,30,Tomas Satoransky,G-F,27,58,24.7,51.5,14,16.2,96,0.792,245,0.522,107,0.439,0.564,0.6,8.2,3.1,7,4.3,23.4,1.07,0.17,1.31,7.7,121,109.4
481,21,Dennis Schroder,G,25,56,28.3,59,25.1,13,162,0.821,540,0.452,240,0.35,0.474,0.513,15.6,3.3,6.1,4.1,21.1,0.89,0.16,2.27,8.4,102.9,103.6
482,13,Mike Scott,F,30,52,14.4,30,14.9,9.9,18,0.667,97,0.412,133,0.391,0.513,0.521,4.8,3.3,12.4,0.8,8.2,0.33,0.15,0.5,6.5,104.3,101
483,23,Mike Scott,F,30,7,21.2,44.1,14.2,12,5,0.4,18,0.333,24,0.458,0.536,0.532,6.7,1.7,4.3,1.1,7.3,0.29,0.14,0.86,4.4,102,106.7
484,29,Thabo Sefolosha,F,34,29,10.6,22,11.8,19,14,0.571,32,0.531,30,0.467,0.613,0.616,2.9,2.6,13.6,0.4,5.4,0.79,0.07,0.55,5.5,103.4,96.6
485,15,Wayne Selden,G-F,24,32,14.2,29.6,19.5,11.7,29,0.759,98,0.459,63,0.317,0.466,0.495,5.4,1.3,5.4,1.1,12.6,0.31,0.19,0.72,5.6,97.6,103.3
486,5,Wayne Selden,G-F,24,22,22.2,46.3,16.3,15.4,29,0.793,87,0.448,54,0.389,0.5,0.533,7.5,2.3,5.7,1.6,10.7,0.36,0.09,1.27,5.4,98.8,109.4
487,6,Collin Sexton,G,20,61,30.5,63.5,25.2,12.7,173,0.85,684,0.408,175,0.394,0.445,0.488,15,3.1,5.6,2.9,15.3,0.57,0.05,2.23,6.7,96.8,113.2
488,23,Landry Shamet,G,21,54,20.5,42.8,15,6.6,54,0.815,102,0.529,245,0.404,0.584,0.606,8.3,1.4,3.8,1.1,7.5,0.44,0.15,0.48,4.6,118.8,105.4
489,13,Landry Shamet,G,21,6,27.7,57.6,15.3,11.7,11,0.909,15,0.333,33,0.424,0.542,0.587,10.3,1.2,2.2,1.8,9.1,1.33,0,1.17,4.1,111.9,111.1
490,26,Iman Shumpert,G,28,42,26.2,54.5,15.2,9.4,41,0.829,146,0.404,202,0.366,0.489,0.511,8.9,3.1,6,2.2,10.7,1.12,0.48,0.9,6,104.6,106.7
491,11,Iman Shumpert,G,28,4,20.7,43.1,12.5,8.3,0,0,2,0.5,20,0.25,0.386,0.386,4.3,2,5.4,1.8,11.6,0.75,0.25,0.5,4.8,94,106.4
492,28,Pascal Siakam,F,24,60,31.6,65.9,19.7,12.1,225,0.787,529,0.603,144,0.354,0.588,0.627,16.1,7,12,2.9,13.5,0.98,0.67,1.77,8.7,121.5,100.8
493,23,Ben Simmons,G-F,22,60,33.9,70.7,22.4,19.6,334,0.59,721,0.57,4,0,0.567,0.584,17,9,14.2,7.8,34.9,1.28,0.73,3.55,12.5,113.7,103.2
494,22,Jonathon Simmons,F,29,41,20.6,42.9,19.3,15,72,0.778,203,0.419,83,0.229,0.397,0.445,6.9,2.5,6.4,2.3,16,0.41,0.34,1.37,6.6,91,105.2
495,23,Jonathon Simmons,F,29,6,13.4,27.9,17.2,15.2,11,0.636,15,0.4,8,0.375,0.457,0.503,4.7,1.3,5.3,1.3,13.4,0.83,0,0.83,6,99.8,97.1
496,6,Kobi Simmons,G,21,1,1.8,3.8,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
497,25,Anfernee Simons,G,19,12,5,10.3,24,20.7,4,0.25,16,0.438,9,0,0.28,0.28,1.3,0.6,6.2,0.3,9,0,0,0.58,4.9,53.1,110.6
498,2,Marcus Smart,G,24,59,27.1,56.5,14.3,16.2,95,0.768,145,0.483,257,0.354,0.514,0.548,8.2,2.9,5.8,4.1,19.5,1.69,0.41,1.46,6.8,112,101.6
499,7,Dennis Smith Jr.,G,21,32,28.4,59.1,23.2,20.1,82,0.695,233,0.489,125,0.344,0.499,0.525,12.9,3,5.7,4.3,24.2,1.25,0.34,3.09,7.7,96.9,103.5
500,20,Dennis Smith Jr.,G,21,9,30,62.5,26.5,12.5,49,0.551,97,0.485,29,0.276,0.468,0.491,16.1,2.9,5,6.9,38.4,1.78,0.44,2.33,9.1,104.2,106.8
501,9,Ish Smith,G,30,33,22.2,46.2,19.1,11.9,31,0.774,178,0.433,96,0.354,0.467,0.487,8.5,2.1,5.1,3.2,22.1,0.48,0.24,1.18,6.9,102.2,104.5
502,30,Jason Smith,F-C,32,12,10.8,22.5,16.2,14.2,12,0.833,27,0.407,10,0.4,0.459,0.52,3.7,3.1,15.7,1,12.3,0.08,0.42,0.58,8.4,110.1,99.8
503,17,Jason Smith,F-C,32,6,6.8,14.1,19.7,26.5,2,1,4,0.25,9,0.333,0.423,0.468,2.2,1.8,14,0.2,3.1,0.33,0.33,0.83,5.4,79.9,89.8
504,6,JR Smith,G-F,33,11,20.2,42.1,18.6,11.7,10,0.8,40,0.375,39,0.308,0.418,0.444,6.7,1.6,4.5,1.9,13.9,1,0.27,1,5.4,91.3,110.2
505,17,Tony Snell,G,27,60,17.2,35.9,13.2,5.9,37,0.892,123,0.528,166,0.398,0.567,0.591,6,2,6,0.9,6.8,0.37,0.23,0.32,5.1,119.6,102.9
506,7,Ray Spalding,F,21,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
507,1,Omari Spellman,F,21,44,17.4,36.3,14.8,10,43,0.698,108,0.454,124,0.347,0.489,0.512,5.8,4.2,12.8,1,7.6,0.57,0.57,0.64,6.7,109.6,108.9
508,25,Nik Stauskas,G,25,44,15.3,31.9,17.9,14,36,0.889,104,0.51,125,0.344,0.513,0.545,6.1,1.8,6.3,1.4,12.7,0.32,0.09,0.91,6.5,105.8,110.2
509,6,Nik Stauskas,G,25,4,13.4,27.8,16.3,10.1,2,1,6,0.167,11,0.273,0.324,0.364,3.3,1.5,6.2,0.3,2.6,0.25,0.25,0.5,3.4,76,110.9
510,15,DJ Stephens,G-F,28,1,6.7,14,20.2,33.3,0,0,2,0.5,0,0,0.5,0.5,2,0,0,0,0,1,0,1,0,59.6,109.1
511,14,Lance Stephenson,G,28,59,15.6,32.6,21,15.8,63,0.667,202,0.49,164,0.378,0.525,0.541,7.2,2.9,9.6,2,17.9,0.59,0.08,1.25,8.9,102.2,101.5
512,12,Edmond Sumner,G,23,17,9.8,20.5,16.3,12.8,12,0.417,29,0.414,20,0.2,0.367,0.378,2.4,1.1,6.3,0.4,5.4,0.53,0.29,0.47,4.2,79.2,96.4
513,25,Caleb Swanigan,F,21,18,8.1,16.8,18.4,25.4,7,0.857,39,0.333,5,0.2,0.33,0.372,1.9,2.9,19,0.4,6.3,0.22,0,0.89,6.4,74.5,93.9
514,2,Jayson Tatum,F,20,60,31.2,65,22.3,9.1,187,0.861,553,0.488,246,0.382,0.514,0.558,16.4,6.3,10.7,1.9,8.8,1.05,0.85,1.47,7.5,109.5,103.2
515,18,Jeff Teague,G,30,36,30,62.4,18.9,16.8,128,0.805,262,0.45,87,0.345,0.467,0.529,11.9,2.4,4.3,8.1,37.7,1.08,0.39,2.28,8.2,112.8,109.5
516,15,Garrett Temple,G-F,32,49,31.2,65.1,14,11.4,76,0.75,177,0.52,210,0.352,0.525,0.551,9.4,3.1,5.6,1.4,6.7,1.02,0.49,1.1,4.4,102.4,103.9
517,13,Garrett Temple,G-F,32,6,19.5,40.6,11.3,6.4,7,0.714,12,0.667,14,0.214,0.481,0.516,5,2.2,5.9,1,6.8,0.5,0.33,0.33,4.6,109.1,100.2
