PID,TID,FULLNAME,POS,AGE,GP,MPG,MIN,USG,Tor,FTA,FT,PA2,P2,PA3,P3,EFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
1,21,Alex Abrines,G,25,31,19,39.5,12.2,7.9,13,0.923,30,0.5,127,0.323,0.487,0.507,5.3,1.5,4.2,0.6,4.3,0.55,0.19,0.45,3.5,103.2,103.4
2,24,Quincy Acy,F,28,10,12.3,25.6,9.2,15.2,10,0.7,3,0.667,15,0.133,0.278,0.379,1.7,2.5,11.4,0.8,8.2,0.1,0.4,0.4,4.9,86.9,98.2
3,1,Jaylen Adams,G,22,13,6.5,13.5,11.5,20.9,2,1,6,0.167,12,0.5,0.556,0.583,1.7,0.7,5.7,1,20.3,0.23,0.15,0.38,6.5,114.5,107.1
4,21,Steven Adams,C,25,57,34,70.9,16.4,12.1,225,0.547,588,0.607,1,0,0.606,0.608,14.7,9.5,14.4,1.7,6.9,1.63,0.77,1.67,7.3,122.8,102.1
5,16,Bam Adebayo,C-F,21,59,21.8,45.5,15.2,17.9,162,0.728,296,0.578,9,0.111,0.566,0.615,7.8,6.6,16.1,1.9,13.1,0.8,0.73,1.39,8.5,118.8,97.1
6,6,Deng Adel,F,22,12,13.2,27.4,9.9,13.9,2,1,10,0.4,20,0.25,0.383,0.405,2.1,1.1,4.6,0.3,3.4,0.08,0.33,0.42,2.7,80.8,115
7,8,DeVaughn Akoon-Purcell,G-F,25,7,3.1,6.4,25.4,15.5,2,0.5,6,0.5,4,0,0.3,0.322,1,0.6,10.1,0.9,37.4,0.29,0,0.29,10.5,,
8,27,LaMarcus Aldridge,F,33,61,32.5,67.8,27.2,9.3,318,0.846,951,0.517,25,0.2,0.512,0.568,20.8,8.9,15,2.5,12.4,0.52,1.26,1.87,9.5,116.3,107.6
9,5,Rawle Alkins,G,21,3,2,4.2,28.8,0,0,0,3,0,1,1,0.375,0.375,1,1,26.9,0.7,50.7,0.33,0,0,17.8,,
10,29,Grayson Allen,G,23,28,9.9,20.5,21.9,11.4,36,0.75,40,0.375,69,0.275,0.399,0.457,4.1,0.4,2.4,0.6,8.8,0.11,0.11,0.57,4,89.7,101.9
11,3,Jarrett Allen,C,20,60,27,56.2,16.2,13.3,205,0.727,410,0.615,39,0.154,0.581,0.622,11.2,8.7,17.2,1.5,8.4,0.57,1.58,1.38,7.8,122.3,102.2
12,20,Kadeem Allen,G,26,10,22.5,46.9,18.5,12.2,26,0.731,59,0.492,16,0.5,0.547,0.584,10.1,2.9,6.7,4.5,31.4,0.8,0.1,1.2,9,121.5,105.3
13,25,Al-Farouq Aminu,F,28,60,29,60.5,13,8.8,131,0.855,219,0.516,213,0.362,0.529,0.581,9.5,7.8,14.3,1.3,6,0.87,0.38,0.78,6.3,121.8,104.4
14,1,Justin Anderson,G-F,25,32,7.8,16.2,17.8,11.9,21,0.762,47,0.532,40,0.2,0.425,0.468,2.8,1.4,9.6,0.4,6.8,0.34,0.22,0.41,6,94.7,105.8
15,15,Kyle Anderson,F,25,43,29.8,62.1,12.8,16,64,0.578,242,0.583,34,0.265,0.56,0.569,8,5.9,11.1,3,15.3,1.26,0.86,1.35,7,110.3,101.2
16,24,Ryan Anderson,F,30,15,18.5,38.6,12.1,15.4,14,0.786,26,0.462,34,0.206,0.375,0.423,3.7,3,9.1,1.1,8.1,0.2,0.07,0.8,5,91.5,112.7
17,16,Ryan Anderson,F,30,3,4,8.4,10.6,33.3,0,0,0,0,2,1,1.5,1.5,2,0,0,0.3,12.7,0,0,0.33,0,157.2,109.2
18,12,Ike Anigbogu,C,20,3,2.1,4.3,28.1,25,0,0,3,0,0,0,0,0,0,1,26.9,0.3,18.5,0,0.33,0.33,0,,
19,17,Giannis Antetokounmpo,F,24,55,33.2,69.2,31.9,15.2,503,0.72,814,0.636,136,0.243,0.597,0.639,27.2,12.7,19.7,6,30.3,1.4,1.45,3.82,15.4,120.6,92.4
20,11,Carmelo Anthony,F,34,10,29.4,61.3,20.4,5.8,22,0.682,57,0.491,64,0.328,0.492,0.513,13.4,5.4,10.3,0.5,2.7,0.4,0.7,0.8,4.5,104.2,105.2
21,28,OG Anunoby,F,21,50,20.3,42.4,15.5,9.4,42,0.452,156,0.545,161,0.348,0.533,0.532,7.1,3.1,8.2,0.7,4.4,0.66,0.22,0.7,4.9,104.1,101.2
22,5,Ryan Arcidiacono,G,24,60,24.7,51.4,10.2,13.4,56,0.911,96,0.51,177,0.362,0.531,0.573,5.7,2.4,5.2,3.6,19.9,0.92,0.05,0.77,5.9,119.6,107.8
23,24,Trevor Ariza,F,33,26,34,70.8,13.9,13.7,43,0.837,88,0.409,139,0.36,0.489,0.525,9.9,5.6,9.2,3.3,13.6,1.46,0.31,1.5,6.7,104.3,113.5
24,30,Trevor Ariza,F,33,30,36.7,76.4,18.4,10.5,83,0.771,164,0.53,224,0.313,0.495,0.528,14.9,5.5,8.3,4.3,16.3,1.5,0.2,1.67,7.7,106.7,111.4
25,22,D.J. Augustin,G,31,60,27.7,57.6,16.7,14.5,170,0.853,244,0.504,223,0.439,0.578,0.632,11.4,2.3,4.4,5,25.8,0.57,0.02,1.53,7.3,124.1,109.5
26,24,Deandre Ayton,C,20,56,30.9,64.4,21.1,11.7,148,0.757,681,0.592,4,0,0.588,0.612,16.4,10.5,19,1.9,10.5,0.84,0.89,1.77,8.9,118.4,106.8
27,4,Dwayne Bacon,G-F,23,25,10.6,22.1,16.4,11.8,12,0.833,59,0.525,25,0.52,0.601,0.622,4.4,1.6,7.9,0.7,9.6,0.12,0.04,0.48,6.4,114.4,104.8
28,26,Marvin Bagley III,F,19,46,24.9,52,23,11.8,194,0.696,420,0.548,60,0.267,0.529,0.569,14,7.2,14.8,1,5.9,0.59,1.02,1.65,7.5,110.7,105
29,20,Ron Baker,G,25,11,9.7,20.2,8.6,13.9,6,0.833,7,0.429,9,0.111,0.281,0.376,1.3,0.7,3.9,1.2,16,0.36,0,0.27,4.2,94.7,102.6
30,30,Ron Baker,G,25,4,11.4,23.6,5.6,33.3,0,0,0,0,4,0,0,0,0,1,4.9,0.5,5.1,0.25,0.25,0.5,0,20.2,115.1
31,25,Wade Baldwin IV,G,22,16,5.9,12.2,23.4,27,11,0.727,24,0.333,9,0.222,0.333,0.396,1.9,0.9,8.5,0.8,16.8,0.06,0.13,0.88,7.5,73.3,102.1
32,14,Lonzo Ball,G,21,47,30.3,63.1,16.9,17.8,48,0.417,228,0.482,228,0.329,0.488,0.487,9.9,5.3,9.1,5.4,23.8,1.47,0.4,2.19,8.7,100.8,103.8
33,22,Mo Bamba,C,20,47,16.3,34,17.9,13.7,63,0.587,173,0.555,70,0.3,0.525,0.539,6.2,4.9,16.3,0.8,7.5,0.28,1.36,0.91,7.1,105.3,96
34,7,J.J. Barea,G,34,38,19.8,41.2,28,14.7,78,0.705,257,0.479,128,0.297,0.468,0.495,10.9,2.5,6.8,5.6,47.9,0.58,0,1.89,10.8,105.4,106.3
35,7,Harrison Barnes,F,26,49,32.3,67.3,23.6,7.8,198,0.833,406,0.416,311,0.389,0.489,0.538,17.7,4.2,7,1.3,6.3,0.67,0.22,1.39,5.7,106.6,108.5
36,26,Harrison Barnes,F,26,6,34.9,72.7,15.4,7.7,16,0.813,35,0.4,30,0.233,0.377,0.43,10.3,6.2,9.1,2.5,9,1.33,0,1,6.2,95.9,108.8
37,8,Will Barton,G,28,20,26.5,55.3,20.3,11.5,39,0.795,122,0.434,85,0.365,0.481,0.513,11.5,4.4,8.9,3.4,17.7,0.35,0.5,1.45,8.4,107.5,106.1
38,18,Keita Bates-Diop,F,23,8,7.7,16,13.8,5,5,0.4,9,0.667,8,0.125,0.441,0.443,2.1,1.8,12.2,0.3,4.4,0.13,0.38,0.13,5.4,96.5,109
39,4,Nicolas Batum,G-F,30,60,31.5,65.6,13.3,16.4,78,0.859,222,0.527,234,0.393,0.559,0.588,9.6,5.2,8.9,3.4,15,0.98,0.55,1.6,7,113.6,108.6
40,18,Jerryd Bayless,G,30,20,20.8,43.4,16.9,11.3,12,0.583,73,0.329,71,0.324,0.406,0.415,6.2,2,5,3.8,24.2,0.55,0.05,0.95,6.9,97.7,108.4
41,2,Aron Baynes,F-C,32,34,14.9,31.1,16.7,14.3,46,0.848,100,0.53,48,0.333,0.52,0.574,5.7,4.3,15.5,1.1,10.2,0.18,0.65,0.82,8,119.2,94
42,1,Kent Bazemore,G,29,47,25.9,54,22.4,14.3,135,0.726,302,0.52,213,0.329,0.509,0.541,13.2,3.9,7.9,2.3,13.7,1.57,0.81,2.04,7.6,101.4,105.9
43,30,Bradley Beal,G,25,60,37.3,77.8,28.3,11.4,316,0.826,746,0.551,434,0.35,0.542,0.583,25.7,5,7.4,5.4,23.5,1.43,0.73,2.83,9.5,112.8,109.8
44,8,Malik Beasley,G,22,59,24.1,50.2,17.7,6.2,46,0.891,251,0.578,285,0.435,0.618,0.632,11.9,2.5,5.7,1.2,7.4,0.66,0.1,0.63,5.5,123.7,107.6
45,14,Michael Beasley,F,30,26,10.7,22.2,29.4,13.7,39,0.718,136,0.529,17,0.176,0.5,0.532,7,2.3,11.2,1,14.7,0.35,0.38,1.04,9.4,99.1,96.4
46,27,Marco Belinelli,G-F,32,60,22.9,47.6,20.1,8.6,106,0.915,221,0.462,308,0.383,0.527,0.569,10.9,2.4,5.8,1.9,11.5,0.47,0.13,0.9,6.4,111.8,109.5
47,10,Jordan Bell,F,24,49,11.2,23.3,12.4,15,21,0.667,126,0.532,1,0,0.528,0.543,3,2.6,12.6,1.2,13.1,0.33,0.8,0.49,7.5,116.1,101.9
48,1,DeAndre' Bembry,F,24,61,24.1,50.2,16.6,17.9,97,0.598,318,0.491,131,0.29,0.474,0.492,7.9,4.2,9.2,2.5,14.5,1.21,0.56,1.75,7.2,94.3,106.5
49,24,Dragan Bender,F,21,26,12.6,26.2,15.5,15.3,26,0.654,39,0.692,49,0.163,0.443,0.478,3.7,2.9,13,0.8,9,0.19,0.12,0.69,6.5,95.1,109.2
50,27,Davis Bertans,F,26,56,21.6,45.1,13.6,8.7,44,0.886,85,0.494,240,0.471,0.651,0.671,8.3,3.5,8.8,1.2,7.7,0.52,0.5,0.59,6,126.7,106.8
51,13,Patrick Beverley,G,30,62,27,56.3,12,14.1,110,0.773,147,0.422,214,0.383,0.512,0.556,7.3,4.8,9.4,3.6,17.7,0.79,0.56,1.08,7.4,116.9,101.1
52,22,Khem Birch,C,26,29,11.3,23.5,11.8,9.1,30,0.833,66,0.606,1,0,0.597,0.655,3.6,3.3,15.6,0.7,8.2,0.38,0.69,0.28,7.2,138.3,98.5
53,4,Bismack Biyombo,C,26,34,14.7,30.6,12.1,12.8,62,0.677,95,0.568,0,0,0.568,0.613,4.4,4.7,17.1,0.6,5.2,0.21,1,0.53,6.3,126.5,99.7
54,26,Nemanja Bjelica,F,30,57,23.1,48.1,16.9,13.2,68,0.765,245,0.531,194,0.423,0.576,0.595,9.8,5.7,12.7,1.9,11.3,0.74,0.79,1.25,8.2,115.9,102.2
55,5,Antonio Blakeney,G,22,43,13.9,28.9,25.2,7.3,57,0.684,219,0.411,72,0.458,0.479,0.503,7.4,1.6,6.1,0.6,6.7,0.23,0.19,0.58,5.5,96.1,113.4
56,17,Eric Bledsoe,G,29,59,29.1,60.6,22.4,13.5,165,0.764,433,0.603,282,0.316,0.552,0.581,15.5,4.5,8,5.3,26.4,1.46,0.37,2.08,9.9,115.9,99.8
57,6,Jaron Blossomgame,F,25,27,16.3,33.9,12.3,8.9,13,0.769,68,0.544,39,0.256,0.486,0.506,4.2,3.6,12.4,0.5,4.3,0.26,0.3,0.41,4.8,107.4,114.6
58,12,Bojan Bogdanovic,F,29,61,31.7,66.1,21.2,10.3,206,0.816,470,0.538,285,0.425,0.575,0.613,17,4,7,1.8,8.5,0.84,0,1.59,6.3,114.3,104.7
59,26,Bogdan Bogdanovic,G,26,48,28,58.3,23.1,11.4,120,0.817,352,0.494,262,0.328,0.493,0.528,14.7,3.6,6.7,4,20.5,1.1,0.21,1.79,8.5,105.9,107.6
60,23,Jonah Bolden,F,23,31,12.7,26.5,14.2,20.3,18,0.444,43,0.721,55,0.309,0.577,0.571,3.9,3.5,15,0.7,7.3,0.29,0.9,0.87,6.7,102.6,94
61,14,Isaac Bonga,G,19,8,3.8,7.9,20.5,13.3,7,0.571,8,0.25,2,0,0.2,0.306,1,0.8,10.1,0.8,24,0.38,0,0.25,9.1,,
62,24,Devin Booker,G,22,47,34.8,72.5,31.6,15.5,291,0.852,583,0.525,304,0.326,0.512,0.57,24.6,4,6.4,6.7,33.7,0.85,0.19,3.96,10,107.2,111.1
63,28,Chris Boucher,F,26,18,5.3,11.1,25.2,3.5,13,0.846,23,0.522,26,0.385,0.551,0.594,3.6,1.6,15.7,0,0,0.17,0.89,0.11,0,123.9,91.5
64,13,Avery Bradley,G,28,49,29.9,62.2,14.2,12.4,25,0.8,248,0.415,172,0.337,0.452,0.464,8.2,2.7,4.8,2,8.9,0.55,0.33,1.24,4.7,93.4,107.9
65,15,Avery Bradley,G,28,6,29.4,61.3,23.6,14.1,7,0.857,52,0.538,24,0.417,0.566,0.582,15.3,3,5.8,3.2,19.3,1,0,2.17,7.2,103.7,102.8
66,29,Tony Bradley,C,21,1,8.6,17.9,19.9,25,0,0,3,0,0,0,0,0,0,3,19,0,0,0,0,1,0,37.4,100.1
67,23,Corey Brewer,G-F,32,7,19.9,41.5,18.9,12.8,13,0.692,35,0.457,14,0.286,0.449,0.484,7.6,2.4,6.5,1.4,10,1.71,0.29,1.14,5.9,95.7,98.8
68,26,Corey Brewer,G-F,32,2,14.7,30.6,26.1,5.4,6,0.833,6,0.5,9,0.444,0.6,0.652,11.5,1,3.5,0.5,5.2,0,0,0.5,4.9,124.8,93.7
69,4,Miles Bridges,F,20,58,19.1,39.8,15.4,10,62,0.742,202,0.535,129,0.31,0.508,0.533,6.6,3.6,10,0.9,6.9,0.55,0.62,0.69,5.8,106.4,107.1
70,24,Mikal Bridges,F,22,62,28,58.3,12.5,10.5,77,0.779,173,0.543,243,0.346,0.529,0.556,8.1,3.1,6.1,2,9.7,1.55,0.48,0.85,5.3,110.7,110.5
71,22,Isaiah Briscoe,G,22,35,13.6,28.3,13.8,16.7,24,0.542,86,0.407,28,0.357,0.439,0.454,3.2,1.8,7,2.2,22.4,0.23,0.03,0.71,6.9,96.8,100.7
72,7,Ryan Broekhoff,G-F,28,28,7.9,16.5,13.7,7.1,2,1,14,0.643,51,0.392,0.6,0.607,2.9,1,6.8,0.5,10.1,0.07,0.11,0.18,5.7,121.1,107.2
73,17,Malcolm Brogdon,G,26,56,29.2,60.9,20.9,10.5,138,0.935,453,0.543,213,0.418,0.57,0.611,15.9,4.7,8.3,3.4,16.5,0.73,0.2,1.52,8.7,120.2,103.1
74,15,Dillon Brooks,G-F,23,18,18.3,38.2,21.1,12.3,30,0.733,82,0.415,40,0.375,0.463,0.499,7.5,1.7,5.3,0.9,7.8,0.56,0.22,1.06,4.9,93.8,97.3
75,15,MarShon Brooks,G,30,29,13.3,27.8,23.9,10.3,33,0.697,115,0.53,54,0.278,0.494,0.518,6.6,1.6,6.6,0.9,11.2,0.31,0.14,0.72,6.4,98.5,104.9
76,30,Troy Brown Jr.,F,19,30,7.1,14.7,16.7,9.6,21,0.667,50,0.44,16,0.25,0.424,0.465,2.3,1.3,10.1,1,18.4,0.27,0.03,0.27,8.1,102.7,108.2
77,9,Bruce Brown,G,22,52,20.1,41.9,12.6,12,48,0.688,175,0.434,75,0.267,0.424,0.452,4.7,2.7,7.4,1.3,9,0.44,0.48,0.71,5.1,97.1,99.6
78,2,Jaylen Brown,F,22,55,25.9,53.9,22.2,10.2,145,0.676,389,0.519,205,0.327,0.509,0.534,12.8,4.3,8.8,1.3,7.6,0.96,0.49,1.36,6.4,103.4,100.6
79,28,Lorenzo Brown,G,28,26,8.2,17,17.7,18.1,3,1,43,0.395,28,0.214,0.366,0.38,2.1,1.2,7.6,1.1,17.4,0.46,0.19,0.62,6.9,81.7,99.9
80,17,Sterling Brown,G,24,48,16,33.4,14,12.2,25,0.72,102,0.559,111,0.36,0.549,0.563,5.3,2.8,9,1.3,10.1,0.4,0.1,0.65,6.7,110.6,99.6
81,7,Jalen Brunson,G,22,52,18.5,38.6,18.5,13,65,0.692,232,0.47,102,0.363,0.493,0.516,7.2,2.1,6,2.5,20.6,0.46,0.06,1.04,7.3,104.9,105.4
82,30,Thomas Bryant,C,21,50,19.3,40.2,17.3,9.7,80,0.8,266,0.68,53,0.396,0.666,0.69,9.8,5.9,16.8,1.2,9.6,0.36,0.84,0.76,8.5,132.9,107.1
83,9,Reggie Bullock,F,27,44,30.8,64.1,16.5,10.3,64,0.875,147,0.463,294,0.388,0.542,0.569,12.1,2.8,4.9,2.5,12.1,0.55,0.11,1.23,5.7,112.9,108.2
84,14,Reggie Bullock,G-F,27,5,33.1,68.9,11.9,8.4,6,0.833,12,0.417,29,0.448,0.598,0.619,10.8,2.8,4.4,2.2,8.6,1,0.8,0.8,4.9,121.1,108.5
85,20,Trey Burke,G,26,33,20.9,43.5,25.8,6.9,75,0.827,272,0.434,86,0.349,0.455,0.496,11.8,1.8,4.6,2.8,23.3,0.64,0.15,0.88,7.5,106.3,114
86,7,Trey Burke,G,26,8,15,31.3,23.5,12.1,14,0.857,34,0.471,18,0.389,0.51,0.559,8.1,2,7.1,1.9,20.5,0.88,0,1,8.4,112.6,105.3
87,29,Alec Burks,G,27,17,15.8,33,23.2,10.3,38,0.868,71,0.437,43,0.372,0.482,0.547,8.4,1.6,5.7,1.2,11.5,0.35,0.24,0.88,6.4,106.3,102.7
88,6,Alec Burks,G,27,34,28.8,60,19.2,10.7,98,0.806,221,0.412,119,0.378,0.466,0.517,11.6,5.5,10.5,2.9,15.1,0.74,0.47,1.35,7.9,107.1,112
89,26,Alec Burks,G,27,6,11.9,24.8,8.8,13.2,5,0.8,8,0.625,3,0,0.455,0.53,2.3,2,8.6,0.7,6.8,0.33,0,0.33,5,107.4,111.8
90,21,Deonte Burton,G,25,22,9,18.7,15.7,11.8,8,0.75,43,0.488,21,0.333,0.492,0.511,3.1,1,5.8,0.3,4.7,0.23,0.36,0.41,4.3,97.6,98.2
91,18,Jimmy Butler,G-F,29,10,36.1,75.3,22.9,7.1,61,0.787,112,0.509,45,0.378,0.525,0.579,21.3,5.2,7.7,4.3,18.3,2.4,1,1.4,8.7,122,109
92,23,Jimmy Butler,G-F,29,39,32.8,68.3,21.9,8.1,203,0.887,414,0.512,111,0.351,0.515,0.587,18.5,5,8.2,3.9,18,1.87,0.51,1.38,8.7,122.9,106.8
93,15,Bruno Caboclo,F,23,14,19.9,41.5,14.9,10.9,14,1,27,0.556,49,0.286,0.474,0.523,6.1,3.3,9.3,0.9,6.4,0.43,1.14,0.71,5.3,104.3,98.3
94,9,Jose Calderon,G,37,45,13.8,28.8,10.9,22.2,11,0.818,62,0.5,56,0.25,0.441,0.46,2.5,1.2,4.9,2.5,24.9,0.36,0.07,0.78,5.7,102.4,103
95,14,Kentavious Caldwell-Pope,G,26,60,23.7,49.4,16.7,7.5,110,0.855,203,0.547,278,0.342,0.527,0.568,10,2.7,5.9,1.1,6.2,0.88,0.15,0.72,5.2,112.9,107.1
96,24,Isaiah Canaan,G,27,19,26.4,55.1,14.3,17.4,20,0.75,57,0.456,72,0.347,0.492,0.515,7.5,2.6,5.5,3.3,17.1,0.63,0,1.53,6.1,99.6,111.8
97,18,Isaiah Canaan,G,27,7,13.6,28.2,15.3,11.5,4,1,10,0.4,19,0.368,0.5,0.536,4.7,0.7,2.8,2.7,27.1,0.29,0.14,0.57,6.1,117.7,113.8
98,17,Isaiah Canaan,G,27,1,11.8,24.6,7.1,0,0,0,0,0,2,1,1.5,1.5,6,1,4.4,2,23.3,0,0,0,7.8,278.5,111.4
99,11,Clint Capela,C,24,45,34,70.9,18.8,10,174,0.626,524,0.632,0,0,0.632,0.642,17.1,12.5,20.6,1.4,6.9,0.58,1.78,1.49,7.9,130.9,106
100,3,DeMarre Carroll,F,32,49,25.7,53.6,18.7,9.8,188,0.75,200,0.435,222,0.338,0.473,0.535,11,5.3,11,1.3,7.4,0.51,0.14,1.12,6.6,108.8,106.5
101,5,Wendell Carter Jr.,F,19,44,25.2,52.5,19.2,13.6,112,0.795,338,0.515,32,0.188,0.495,0.543,10.3,7,15.1,1.8,10.8,0.59,1.34,1.5,8,107.7,99.8
102,15,Jevon Carter,G,23,26,14.8,30.7,16,16.2,13,0.615,52,0.25,56,0.232,0.301,0.321,2.8,1.3,5.2,1.7,16.7,0.81,0.27,0.85,5,72.3,100.8
103,1,Vince Carter,G-F,42,56,15.6,32.5,16.8,10.3,40,0.675,104,0.51,202,0.391,0.56,0.572,6.6,2.5,8.6,0.9,8.6,0.54,0.3,0.66,6.3,110,106.3
104,11,Michael Carter-Williams,G,27,16,9,18.8,24.6,12.1,26,0.462,42,0.429,19,0.368,0.467,0.476,4.3,0.8,5,1.3,23.1,0.56,0.38,0.63,7.3,99.8,96.5
105,14,Alex Caruso,G,25,6,3.5,7.4,11.2,0,4,0.25,3,0.333,1,1,0.625,0.521,1,0.2,2.4,0.2,6,0,0.33,0,3.9,,
106,15,Omri Casspi,F,30,36,14.5,30.1,18.2,11,58,0.672,118,0.602,43,0.349,0.581,0.606,6.3,3.2,12.5,0.7,8.2,0.56,0.25,0.64,6.7,112.6,102.9
107,26,Willie Cauley-Stein,C,25,60,27.9,58,18.5,9.5,200,0.545,588,0.541,2,0.5,0.542,0.552,12.5,8.4,15.4,2.5,12.9,1.27,0.65,1.18,9.2,115.3,100.3
108,22,Troy Caupain,G,23,2,4.7,9.7,18.8,0,0,0,2,0.5,2,0.5,0.625,0.625,2.5,1,11.6,1.5,52.7,0.5,0,0,13.2,148.1,105.2
109,29,Tyler Cavanaugh,F,25,8,2.3,4.8,18.2,12.7,2,1,3,0.667,3,0,0.333,0.436,0.8,0.5,11.7,0,0,0,0,0.13,0,,
110,24,Tyson Chandler,C,36,7,12.7,26.5,13,26,18,0.556,12,0.667,0,0,0.667,0.653,3.7,5.6,24.6,0.9,9.2,0.29,0.14,1,8.4,111.9,87.3
111,14,Tyson Chandler,C,36,44,17,35.5,8,22.1,63,0.603,84,0.607,1,0,0.6,0.621,3.2,5.9,17.8,0.7,5.1,0.43,0.52,0.73,5.6,124.1,99
112,23,Wilson Chandler,F,31,36,26.4,55,11.2,15.4,18,0.722,89,0.506,118,0.39,0.551,0.561,6.7,4.6,9.4,2,10,0.61,0.5,1.08,6,110.9,103.1
113,4,Joe Chealey,G,23,1,7.8,16.3,16.5,0,0,0,3,0.333,0,0,0.333,0.333,2,0,0,1,18.1,0,0,0,0,86.4,106.7
114,11,Marquese Chriss,F,21,16,6.5,13.5,20.5,24.4,7,0.857,19,0.526,15,0.067,0.338,0.391,1.8,1.8,15.2,0.4,8.3,0.13,0.25,0.75,6.7,75.8,97.4
115,6,Marquese Chriss,F,21,7,19.8,41.2,21.7,8.7,13,0.692,30,0.5,27,0.444,0.579,0.598,10.7,5,14,0.7,6,0.71,0.29,0.86,6.8,117.8,97.1
116,11,Gary Clark,F,24,37,14.3,29.7,9.6,4.3,6,1,10,0.6,100,0.29,0.45,0.466,2.8,2.5,10,0.4,3.6,0.41,0.62,0.14,3.9,107.3,108.6
117,19,Ian Clark,G,27,43,13.3,27.8,17.1,16,16,0.938,95,0.474,98,0.347,0.497,0.517,4.8,1.3,4.9,1.1,11.1,0.23,0.09,0.88,5.7,95.8,108
118,6,Jordan Clarkson,G,26,60,26.9,56.1,28.6,9.9,133,0.835,556,0.514,338,0.331,0.508,0.535,17,3.5,7.1,2.5,16.4,0.7,0.22,1.75,7.9,106,115
119,1,John Collins,F-C,21,45,29.9,62.3,23.3,11.9,193,0.762,480,0.613,112,0.375,0.603,0.636,19.1,9.6,17.1,2,11.3,0.31,0.4,2.02,9.6,122.3,106.4
120,25,Zach Collins,F-C,21,59,17.8,37.1,16.2,14.1,98,0.776,214,0.533,89,0.337,0.525,0.569,6.7,4.2,12.4,0.9,7.3,0.37,0.81,0.97,6.6,113.3,98.9
121,12,Darren Collison,G,31,61,28.1,58.6,16.9,14.5,129,0.837,355,0.499,156,0.417,0.537,0.579,10.8,2.9,5.8,6,29.1,1.43,0.13,1.57,8.2,119.2,103.1
122,17,Bonzie Colson,F,23,1,3.1,6.5,13.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
123,15,Mike Conley,G,31,59,33.4,69.7,27.1,9.5,313,0.847,576,0.477,357,0.35,0.496,0.556,20.2,3.4,5.8,6.4,33.4,1.41,0.34,1.92,9.1,114.1,107.9
124,17,Pat Connaughton,G,26,39,17.2,35.8,14.6,8.2,22,0.682,86,0.628,118,0.288,0.515,0.526,5.8,3.3,9.8,1.9,14.2,0.44,0.41,0.49,7.7,114.8,101.8
125,10,Quinn Cook,G,25,52,13.9,29,20.4,9.5,20,0.75,169,0.497,136,0.375,0.526,0.535,6.5,2.1,8.2,1.6,15.4,0.33,0.06,0.63,8,107.5,105.2
126,10,DeMarcus Cousins,C,28,14,24.4,50.9,27.5,14.5,73,0.781,115,0.496,42,0.286,0.478,0.547,14.8,7.9,17.2,3.5,20.1,1.29,1.43,2.29,12.2,108.4,93.1
127,23,Robert Covington,F,28,13,33.8,70.5,14.2,14.8,23,0.739,40,0.5,77,0.39,0.556,0.578,11.3,5.2,8.2,1.1,4.3,1.85,1.77,1.69,4.7,101.9,100.7
128,18,Robert Covington,F,28,22,34.7,72.2,16.4,8.4,66,0.773,97,0.526,148,0.372,0.545,0.58,14.5,5.7,8.9,1.5,5.9,2.27,1.05,1.14,5.7,115.1,101.9
129,3,Allen Crabbe,G-F,26,35,26,54.2,17.3,10.5,48,0.75,96,0.323,216,0.394,0.508,0.53,10.1,3.4,6.9,1.1,5.8,0.57,0.31,1.11,5.2,101.7,105
130,8,Torrey Craig,F,28,53,22.1,46.1,12.3,11.2,51,0.647,139,0.583,140,0.293,0.511,0.527,6,3.9,9.5,0.9,5.4,0.55,0.62,0.72,5,109.9,102.1
131,24,Jamal Crawford,G,38,51,17.6,36.7,20.1,18.1,75,0.827,168,0.435,142,0.296,0.439,0.487,6.5,1.2,3.9,3.3,27.1,0.47,0.2,1.49,6.7,96.9,115.1
132,3,Mitchell Creek,F,26,4,8.9,18.5,15.5,0,7,0.714,9,0.556,1,0,0.5,0.573,3.8,2.5,15,1.3,20.6,0.25,0,0,10.4,145.2,104.4
133,29,Jae Crowder,F,28,58,27.6,57.5,19.3,9.2,159,0.698,199,0.513,385,0.338,0.509,0.539,12.2,4.8,9.4,1.6,8.8,0.76,0.4,1.14,6.6,106.8,101.9
134,27,Dante Cunningham,F,31,55,15.7,32.7,8.8,12.1,16,0.813,85,0.518,61,0.492,0.61,0.624,3.5,3.3,11.4,0.9,7.1,0.42,0.24,0.38,5.6,126.8,106.5
135,25,Seth Curry,G,28,54,17.3,36,15,11.5,19,0.895,131,0.42,152,0.474,0.576,0.589,6.4,1.4,4.2,1,7.8,0.37,0.15,0.7,4.8,112.6,107.7
136,10,Stephen Curry,G,30,49,34.3,71.5,30.3,11.5,224,0.92,388,0.544,572,0.446,0.618,0.658,28.4,5.2,8.1,5.3,24.3,1.29,0.39,2.82,10.7,122.6,106.6
137,24,Troy Daniels,G,27,31,13.1,27.3,18.7,10.8,17,0.765,41,0.512,109,0.394,0.57,0.584,5.9,1.1,4.6,0.4,4.5,0.55,0.06,0.61,4.2,104.5,110.6
138,19,Anthony Davis,F-C,25,47,35.3,73.5,29.6,7.8,409,0.802,784,0.541,129,0.318,0.532,0.594,27.6,12.7,18.7,4.1,18.9,1.62,2.51,1.98,12.8,123,104.1
